,station_name,total_departures,latitude,longitude
989,Grand St & Samuel Dickstein Plaza,29927,40.7151,-73.9842
902,Flatbush Ave & Ocean Ave,29876,40.6637,-73.963
1661,W 87 St & Amsterdam Ave,29862,40.7884,-73.9747
1729,William St & Pine St,29768,40.7072,-74.0089
863,E 89 St & York Ave,29696,40.7779,-73.946
821,E 56 St & Madison Ave,29686,40.7616,-73.9726
109,3 St & Prospect Park West,29534,40.6681,-73.9736
853,E 81 St & York Ave,29381,40.7728,-73.9499
1366,Riverside Dr & W 82 St,29334,40.7872,-73.9813
591,Cliff St & Fulton St,29327,40.7084,-74.0049
1621,W 40 St & 5 Ave,29114,40.748,-73.9738
1228,Morton St & Washington St,28987,40.7312,-74.0089
1447,St. Nicholas Ave & W 126 St,28831,40.8114,-73.9519
1113,Lenox Ave & W 126 St,28825,40.8084,-73.9452
893,Emerson Pl & Myrtle Ave,28716,40.6936,-73.9622
903,Flushing Ave & Vanderbilt Ave,28581,40.698,-73.9708
208,46 Ave & 5 St,28548,40.7473,-73.9545
563,Central Park W & W 103 St,28527,40.7956,-73.9619
1532,W 10 St & Washington St,28511,40.7334,-74.0085
1185,Market St & Henry St,28445,40.7131,-73.9945
1667,W Broadway & Spring St,28436,40.7249,-74.0017
1199,Meserole Ave & Manhattan Ave,28371,40.7271,-73.953
810,E 5 St & Cooper Sq,28369,40.7277,-73.991
846,E 77 St & 3 Ave,28322,40.7731,-73.9586
646,DeKalb Ave & Vanderbilt Ave,28292,40.6894,-73.9689
1452,Stagg St & Union Ave,28290,40.7088,-73.951
596,Clinton St & Cherry St,28239,40.7115,-73.9867
845,E 76 St & Park Ave,28119,40.7738,-73.9622
832,E 63 St & 3 Ave,28101,40.764,-73.9646
1703,Water St & Main St,27891,40.7032,-73.9904
1371,Roebling St & N 4 St,27878,40.7147,-73.9574
1540,W 110 St & Amsterdam Ave,27861,40.8027,-73.963
1046,Huron St & Franklin St,27721,40.7327,-73.9583
1656,W 74 St & Columbus Ave,27593,40.7786,-73.9775
1636,W 48 St &  Rockefeller Plaza,27593,40.7578,-73.9793
1688,Warren St & W Broadway,27561,40.7147,-74.0091
1389,Scholes St & Manhattan Ave,27423,40.7087,-73.9449
390,Atlantic Ave & Fort Greene Pl,27188,40.6838,-73.9763
997,Greene St & Prince St,27103,40.7251,-73.9993
1734,Willoughby Ave & Hall St,27088,40.692,-73.9654
1662,W 87 St & West End Ave,27065,40.7896,-73.9776
598,Clinton St & Joralemon St,26945,40.6924,-73.9934
1502,Union Ave & N 12 St,26942,40.7192,-73.9524
1359,Riverside Dr & W 104 St,26922,40.8013,-73.9711
856,E 84 St & Park Ave,26878,40.7786,-73.9577
827,E 6 St & 2 Ave,26835,40.7274,-73.9884
1002,Greenwich St & Hubert St,26830,40.7213,-74.0101
1062,Jay St & York St,26815,40.7014,-73.9867
1112,Lenox Ave & W 117 St,26808,40.8026,-73.9491
1048,India St & Manhattan Ave,26749,40.7323,-73.9551
999,Greenpoint Ave & Manhattan Ave,26650,40.7303,-73.9539
645,DeKalb Ave & S Portland Ave,26549,40.6898,-73.9749
862,E 89 St & 3 Ave,26515,40.7806,-73.9522
1668,W Broadway & W Houston St,26499,40.7264,-74.0005
1201,Metropolitan Ave & Meeker Ave,26495,40.7141,-73.9523
872,E 97 St & Madison Ave,26388,40.7878,-73.9536
1350,Reade St & Broadway,26386,40.7145,-74.0056
882,Eastern Pkwy & Franklin Ave,26375,40.6708,-73.9577
1187,McGuinness Blvd & Eagle St,26361,40.7356,-73.9528
705,E 12 St & Ave C,26273,40.7272,-73.9768
794,E 4 St & Ave B,26144,40.7233,-73.9827
427,Bergen St & Flatbush Ave,26132,40.6809,-73.9757
352,Adelphi St & Myrtle Ave,26122,40.6931,-73.9718
1213,Montrose Ave & Bushwick Ave,26093,40.7077,-73.9402
803,E 47 St & 1 Ave,26047,40.7521,-73.9678
325,8 Ave & W 24 St,26006,40.7459,-73.9981
1252,Nassau Ave & Russell St,25987,40.7256,-73.9443
966,Grand Army Plaza & Plaza St West,25907,40.673,-73.9709
234,5 Ave & 3 St,25805,40.6728,-73.9835
539,Carroll St & Smith St,25792,40.6806,-73.9948
861,E 88 St & Park Ave,25784,40.7814,-73.956
844,E 75 St & 3 Ave,25780,40.7711,-73.9577
1334,Prospect Park West & 8 St,25747,40.6651,-73.9764
419,Bedford Ave & Bergen St,25706,40.6764,-73.9529
644,DeKalb Ave & Hudson Ave,25523,40.6899,-73.981
921,Frederick Douglass Blvd & W 115 St,25433,40.8039,-73.9559
1378,S 4 St & Rodney St,25269,40.7093,-73.9561
1025,Henry St & Atlantic Ave,25180,40.6909,-73.9961
833,E 65 St & 2 Ave,25167,40.7647,-73.9622
1741,Willoughby St & Fleet St,25164,40.692,-73.9813
289,6 Ave & Walker St,25128,40.7198,-74.0052
675,Duffield St & Willoughby St,25116,40.6922,-73.9843
